,Accuracy,AUC,Precision,Recall,F1 Score,MCC
LogisticRegression,0.9859154929577465,0.9980162666137672,0.9859154929577465,0.9859154929577465,0.9859154929577465,0.971830985915493
DecisionTreeClassifier,0.9647887323943662,0.9647887323943662,0.9583333333333334,0.971830985915493,0.965034965034965,0.9296696802013683
KNeighborsClassifier,0.9295774647887324,0.9777821860741917,0.9420289855072463,0.9154929577464789,0.9285714285714286,0.859495999431939
GaussianNB,0.9647887323943662,0.9984130132910136,0.9459459459459459,0.9859154929577465,0.9655172413793104,0.9304083928170916
RandomForestClassifier,0.9859154929577465,0.9994048799841301,0.9859154929577465,0.9859154929577465,0.9859154929577465,0.971830985915493
XGBClassifier,0.9788732394366197,0.9978178932751438,0.9722222222222222,0.9859154929577465,0.9790209790209791,0.9578414886923189
